Techstack,Links
"React, Node.js, MongoDB",https://example.com/react-portfolio
"Angular, .NET, SQL Server",https://example.com/angular-portfolio
"Vue.js, Ruby on Rails, PostgreSQL",https://example.com/vue-portfolio
"Python, Django, MySQL",https://example.com/python-portfolio
"Java, Spring Boot, Oracle",https://example.com/java-portfolio
"Flutter, Firebase, GraphQL",https://example.com/flutter-portfolio
"WordPress, PHP, MySQL",https://example.com/wordpress-portfolio
"Magento, PHP, MySQL",https://example.com/magento-portfolio
"React Native, Node.js, MongoDB",https://example.com/react-native-portfolio
"iOS, Swift, Core Data",https://example.com/ios-portfolio
"Android, Java, Room Persistence",https://example.com/android-portfolio
"Kotlin, Android, Firebase",https://example.com/kotlin-android-portfolio
"Full-stack, JavaScript, Express.js",https://example.com/full-stack-js-portfolio
"TypeScript, Angular Frontend",https://example.com/typescript-frontend-portfolio
"Backend, Kotlin, Spring Boot",https://example.com/kotlin-backend-portfolio
"Machine Learning, Python, TensorFlow",https://example.com/ml-python-portfolio
"DevOps, Jenkins, Docker",https://example.com/devops-portfolio
"AWS, Terraform, Kubernetes",https://example.com/aws-k8s-portfolio
"Azure, CI/CD, AKS",https://example.com/azure-devops-portfolio
"Google Cloud, BigQuery, Firebase",https://example.com/gcp-portfolio
"Cybersecurity, PenTesting, Kali Linux",https://example.com/cybersecurity-portfolio
"Blockchain, Solidity, Web3.js",https://example.com/blockchain-portfolio
"Ethereum Smart Contracts, Hardhat",https://example.com/eth-contracts-portfolio
"Data Engineering, Airflow, Spark",https://example.com/data-engineering-portfolio
"Data Science, Pandas, Scikit-Learn",https://example.com/datascience-portfolio
"Computer Vision, YOLO, OpenCV",https://example.com/cv-portfolio
"NLP, Transformers, HuggingFace",https://example.com/nlp-portfolio
"Video Editing, Adobe Premiere Pro",https://example.com/videoediting-portfolio
"Motion Graphics, After Effects",https://example.com/motion-design-portfolio
"3D Animation, Blender",https://example.com/blender-portfolio
"SEO, Keyword Research, Ahrefs",https://example.com/seo-portfolio
"SMM, Instagram, Meta Ads",https://example.com/smm-portfolio
"Content Marketing, Copywriting",https://example.com/content-marketing-portfolio
"Email Marketing, Mailchimp, CRM",https://example.com/email-marketing-portfolio
"UI/UX Design, Figma, Prototyping",https://example.com/uiux-portfolio
"Graphic Design, Photoshop, Illustrator",https://example.com/graphics-portfolio
"Game Development, Unity, C#",https://example.com/unity-portfolio
"Game Development, Unreal Engine",https://example.com/unreal-portfolio
"AR/VR, ARCore, ARKit",https://example.com/arvr-portfolio
"IoT, ESP32, MQTT",https://example.com/iot-portfolio
"Embedded Systems, C, ARM",https://example.com/embedded-portfolio
"RPA, UiPath, Automation Anywhere",https://example.com/rpa-portfolio
"Testing, Selenium, Cypress",https://example.com/testing-portfolio
"Chatbot Development, Rasa, Dialogflow",https://example.com/chatbot-portfolio
"E-commerce, Shopify",https://example.com/shopify-portfolio
"E-commerce, WooCommerce",https://example.com/woocommerce-portfolio
"CRM, Salesforce",https://example.com/salesforce-portfolio
